,STATE/UT,DISTRICT,Year,Cyber Blackmailing and Threatening ,Cyber Pornography,Cyber Stalking and Bullying,Defamation and Morphing,Fake Profile,Other Crimes 
0,ANDHRA PRADESH,ADILABAD,2007,50,30,16,149,34,175
1,ANDHRA PRADESH,ANANTAPUR,2007,23,30,7,118,24,154
2,ANDHRA PRADESH,CHITTOOR,2007,27,34,14,112,83,186
3,ANDHRA PRADESH,CUDDAPAH,2007,20,20,17,126,38,57
4,ANDHRA PRADESH,EAST GODAVARI,2007,23,26,12,109,58,247
5,ANDHRA PRADESH,GUNTAKAL RLY.,2007,0,0,0,1,0,0
6,ANDHRA PRADESH,GUNTUR,2007,54,51,7,139,129,378
7,ANDHRA PRADESH,HYDERABAD CITY,2007,37,39,24,118,27,746
8,ANDHRA PRADESH,KARIMNAGAR,2007,56,49,62,414,81,224
9,ANDHRA PRADESH,KHAMMAM,2007,47,30,17,180,336,172
10,ANDHRA PRADESH,KRISHNA,2007,37,21,10,208,72,265
11,ANDHRA PRADESH,KURNOOL,2007,29,47,13,141,107,92
12,ANDHRA PRADESH,MAHABOOBNAGAR,2007,59,27,14,176,41,69
13,ANDHRA PRADESH,MEDAK,2007,35,20,26,100,25,192
14,ANDHRA PRADESH,NALGONDA,2007,35,19,31,188,59,214
15,ANDHRA PRADESH,NELLORE,2007,46,80,10,207,228,287
16,ANDHRA PRADESH,NIZAMABAD,2007,21,21,19,55,15,228
17,ANDHRA PRADESH,PRAKASHAM,2007,19,12,5,140,100,119
18,ANDHRA PRADESH,RANGA REDDY,2007,72,83,37,113,55,421
19,ANDHRA PRADESH,SECUNDERABAD RLY.,2007,0,0,1,0,1,0
20,ANDHRA PRADESH,SRIKAKULAM,2007,8,12,6,38,47,108
21,ANDHRA PRADESH,VIJAYAWADA,2007,25,48,2,84,122,520
22,ANDHRA PRADESH,VIJAYAWADA RLY.,2007,1,0,0,1,1,0
23,ANDHRA PRADESH,VISAKHA RURAL,2007,12,12,3,67,48,99
24,ANDHRA PRADESH,VISAKHAPATNAM,2007,13,6,0,33,462,204
25,ANDHRA PRADESH,VIZIANAGARAM,2007,8,2,0,40,22,121
26,ANDHRA PRADESH,WARANGAL,2007,53,25,52,241,0,165
27,ANDHRA PRADESH,WEST GODAVARI,2007,61,21,15,246,56,348
28,ANDHRA PRADESH,TOTAL,2007,871,765,420,3544,2271,5791
29,ARUNACHAL PRADESH,CHANGLANG,2007,1,2,0,3,0,0
30,ARUNACHAL PRADESH,DIBANG VALLEY,2007,2,4,0,4,0,2
31,ARUNACHAL PRADESH,KAMENG EAST,2007,2,5,0,5,0,0
32,ARUNACHAL PRADESH,KAMENG WEST,2007,0,2,0,0,0,0
33,ARUNACHAL PRADESH,LOHIT,2007,2,6,0,8,0,0
34,ARUNACHAL PRADESH,PAPUM PARE,2007,9,5,0,6,0,3
35,ARUNACHAL PRADESH,SIANG EAST,2007,5,7,0,7,0,2
36,ARUNACHAL PRADESH,SIANG UPPER,2007,2,5,0,3,0,0
37,ARUNACHAL PRADESH,SIANG WEST,2007,4,10,0,25,2,2
38,ARUNACHAL PRADESH,SUBANSIRI LOWER,2007,2,5,0,4,0,0
39,ARUNACHAL PRADESH,SUBANSIRI UPPER,2007,2,1,0,8,0,2
40,ARUNACHAL PRADESH,TAWANG,2007,1,0,0,5,1,0
41,ARUNACHAL PRADESH,TIRAP,2007,1,3,0,0,0,0
42,ARUNACHAL PRADESH,TOTAL,2007,33,55,0,78,3,11
43,ASSAM,BARPETA,2007,28,88,10,29,0,95
44,ASSAM,BONGAIGAON,2007,20,21,1,22,0,26
45,ASSAM,C.I.D.,2007,0,0,0,0,0,0
46,ASSAM,CACHAR,2007,45,74,7,80,0,216
47,ASSAM,DARRANG,2007,48,47,9,56,0,37
48,ASSAM,DHEMAJI,2007,42,20,0,26,0,0
49,ASSAM,DHUBRI,2007,43,51,5,49,0,111
50,ASSAM,DIBRUGARH,2007,35,37,3,41,0,19
51,ASSAM,G.R.P.,2007,1,0,0,0,0,0
52,ASSAM,GOALPARA,2007,35,35,1,54,0,64
53,ASSAM,GOLAGHAT,2007,30,40,0,23,0,26
54,ASSAM,GUWAHATI CITY,2007,37,64,5,67,0,98
55,ASSAM,HAILAKANDI,2007,24,34,2,27,0,28
56,ASSAM,JORHAT,2007,42,28,2,44,0,48
57,ASSAM,KAMRUP,2007,21,65,2,42,0,27
58,ASSAM,KARBI ANGLONG,2007,5,15,4,5,0,8
